univName,researchExp,industryExp,toeflScore,internExp,greV,greQ,greA,cgpa_4
Arizona State University,0.7977839335180056,6.454293628808864,104.78024007386888,0.6722068328716528,152.33702677747,163.38781163434902,3.541551246537396,3.176498303931574
Carnegie Mellon University,0.851123595505618,5.73876404494382,110.12921348314607,0.6039325842696629,156.18820224719101,164.40449438202248,3.8918539325842696,3.142864399763454
Clemson University,0.6923076923076923,6.829670329670329,105.62637362637362,0.7032967032967034,152.9010989010989,162.46703296703296,3.598901098901099,2.988189126662811
Cornell University,0.26804123711340205,4.154639175257732,108.78350515463917,0.9484536082474226,154.49484536082474,163.7422680412371,3.804123711340206,3.3832069451980473
George Mason University,0.33064516129032256,4.556451612903226,101.0,0.1532258064516129,149.17741935483872,160.04032258064515,3.342741935483871,2.71676220713073
Georgia Institute of Technology,0.7014218009478673,3.7914691943127963,111.48341232227489,0.909952606635071,157.76303317535545,165.72985781990522,4.004739336492891,3.2507156896981795
New Jersey Institute of Technology,0.4587628865979381,6.819587628865979,97.11340206185567,0.6855670103092784,147.3041237113402,157.93814432989691,3.2412371134020614,2.59334997287032
New York University,0.7961165048543689,8.805825242718447,107.13592233009709,1.1067961165048543,154.38834951456312,163.61165048543688,3.6262135922330097,2.9067424629535004
North Carolina State University,0.5777777777777777,6.564444444444445,107.97333333333333,0.8503703703703703,155.03555555555556,165.41185185185185,3.72962962962963,3.210428644054581
Northeastern University,0.1865671641791045,7.74179104477612,103.35671641791045,0.7134328358208956,150.90298507462686,160.855223880597,3.4567164179104477,2.9558567164179106
Ohio State University Columbus,0.8904109589041096,3.671232876712329,108.91095890410959,0.6506849315068494,155.97260273972603,165.3013698630137,3.845890410958904,3.2462739726027396
Purdue University,0.49230769230769234,5.092307692307692,108.99230769230769,0.8,155.56923076923076,164.92307692307693,3.876923076923077,3.407405020242915
Rutgers University New Brunswick/Piscataway,0.8,5.21,107.35,1.95,153.72,164.86,3.695,3.055877894736842
SUNY Buffalo,0.32409972299168976,6.96398891966759,105.7174515235457,0.6509695290858726,153.3213296398892,162.6814404432133,3.6048476454293628,2.9970071438985277
SUNY Stony Brook,0.8729641693811075,8.990228013029316,106.68403908794788,0.9283387622149837,153.6156351791531,164.38110749185668,3.6335504885993486,3.3036152237270704
Syracuse University,0.23173803526448364,5.498740554156171,104.11838790931989,0.48866498740554154,151.45088161209068,160.8287153652393,3.5113350125944582,2.983033912236511
Texas A and M University College Station,0.5919540229885057,6.32183908045977,108.10057471264368,0.8132183908045977,155.2183908045977,164.91666666666666,3.7270114942528734,3.1693119903206295
University of Arizona,0.08235294117647059,6.015686274509804,106.83529411764705,0.29411764705882354,153.82745098039214,162.05098039215687,3.656862745098039,2.9541098039215687
University of California Irvine,0.8062015503875969,5.852713178294573,108.50387596899225,0.9457364341085271,154.62790697674419,164.2325581395349,3.705426356589147,3.203387188902489
University of Cincinnati,0.6238805970149254,8.298507462686567,106.0865671641791,0.6626865671641791,153.69850746268656,162.54626865671642,3.6283582089552238,3.0261730086410057
University of Colorado Boulder,0.5502958579881657,3.698224852071006,107.44378698224853,0.863905325443787,154.27218934911244,163.9467455621302,3.789940828402367,3.0527387106820307
University of Florida,0.5978260869565217,6.180434782608696,105.9804347826087,0.8,153.71521739130435,163.37608695652173,3.639782608695652,3.041802242562929
University of Illinois Chicago,0.33167495854063017,7.676616915422885,104.28192371475953,0.6368159203980099,152.13930348258705,161.65008291873963,3.539485903814262,3.036222711006372
University of Illinois Urbana-Champaign,0.9019607843137255,3.9313725490196076,109.16666666666667,1.2941176470588236,155.6764705882353,164.57843137254903,3.784313725490196,3.388865304437565
University of Maryland College Park,0.34701492537313433,8.716417910447761,107.2723880597015,0.7126865671641791,153.05223880597015,162.04850746268656,3.6194402985074627,2.904215239591516
University of Massachusetts Amherst,0.6605504587155964,8.275229357798166,106.70642201834862,0.9908256880733946,153.6422018348624,163.60550458715596,3.6559633027522938,3.3809097054563013
University of Minnesota Twin Cities,0.726775956284153,4.3497267759562845,107.5464480874317,0.73224043715847,154.4153005464481,165.33879781420765,3.737704918032787,3.422174633304573
University of North Carolina Charlotte,0.3292079207920792,7.143564356435643,100.81683168316832,0.6905940594059405,149.72277227722773,160.72524752475246,3.3935643564356437,2.870656227201668
University of Pennsylvania,0.30392156862745096,3.303921568627451,110.55882352941177,0.47058823529411764,155.97058823529412,165.14705882352942,4.0245098039215685,3.4468759545923633
University of Southern California,0.5377358490566038,4.518867924528302,106.22798742138365,0.8742138364779874,152.88679245283018,163.27044025157232,3.650943396226415,3.3338196954650785
University of Texas Arlington,0.16377171215880892,5.471464019851116,98.42679900744417,0.5533498759305211,148.0421836228288,158.88585607940448,3.2906947890818863,2.7890954681990334
University of Texas Dallas,0.33668341708542715,6.690954773869347,101.60134003350083,0.48576214405360135,150.15996649916246,160.74455611390286,3.4099246231155775,3.0270815304593146
University of Utah,0.8012048192771084,7.295180722891566,105.8855421686747,0.8433734939759037,153.28313253012047,163.210843373494,3.6174698795180724,3.1216067216233356
University of Washington,1.4615384615384615,7.3247863247863245,109.37606837606837,1.017094017094017,155.94017094017093,162.94871794871796,3.9401709401709404,3.014604048582996
University of Wisconsin Madison,0.543859649122807,4.456140350877193,109.23684210526316,0.7894736842105263,156.1315789473684,165.48245614035088,3.9078947368421053,3.5217617728531856
Virginia Polytechnic Institute and State University,1.5928571428571427,6.235714285714286,109.32857142857142,1.2428571428571429,156.39285714285714,165.50714285714287,3.817857142857143,3.335914135338346
